dv,score
"[-0.56808077  1.27861506  1.10535362  0.66512255  0.21146957  1.16349232
  1.13675813  0.34890604  0.02841029  0.87051929  1.35668549  0.50631776
  0.38291984 -0.75333559  0.84170312  0.82686875  0.46395867  1.44105957
  1.25464794 -0.84419504]",1573.1433648556326
"[-0.56808077  1.27861506  1.10535362  0.66512255  0.21146957  1.16349232
  1.13675813  0.34890604  0.02841029  0.87051929  1.35668549  0.50631776
  0.38291984 -0.75333559  0.84170312  0.82686875  0.46395866  1.44105958
  1.25464794 -0.84419504]",1573.1433747794022
"[-0.56808077  1.27861506  1.10535362  0.66512255  0.21146957  1.16349232
  1.13675813  0.34890604  0.02841029  0.87051929  1.35668549  0.50631776
  0.38291984 -0.75333559  0.84170312  0.82686875  0.46395866  1.44105957
  1.25464795 -0.84419504]",1573.1433780784723
"[-0.56808077  1.27861506  1.10535362  0.66512255  0.21146957  1.16349232
  1.13675813  0.34890604  0.02841029  0.87051929  1.35668549  0.50631776
  0.38291984 -0.75333559  0.84170312  0.82686875  0.46395866  1.44105957
  1.25464794 -0.84419503]",1573.1433627440729
"[-0.99328756  0.99665248  0.9983317   0.99916845  0.99958539  0.99979332
  0.99989691  0.99994874  0.99997457  0.99998715  0.99999331  0.99999608
  0.9999974   0.9999981   0.99999833  0.99999833  0.99999769  0.9999965
  0.99999309  0.9999866 ]",970.8859428058927
"[-0.62732264  1.17704828  1.01381281  0.6958398   0.19984492  1.04674885
  1.08343572  0.41145616  0.00260397  0.82634918  1.14871329  0.51798727
  0.31648768 -0.72756817  0.87869281  0.83978146  0.54681498  1.2478476
  1.01835581 -0.82917773]",970.8859447394119
"[-0.62732265  1.17704829  1.01381281  0.6958398   0.19984492  1.04674885
  1.08343572  0.41145616  0.00260397  0.82634918  1.14871329  0.51798727
  0.31648768 -0.72756817  0.87869281  0.83978146  0.54681498  1.2478476
  1.01835581 -0.82917773]",970.8859461261679
"[-0.62732265  1.17704828  1.01381282  0.6958398   0.19984492  1.04674885
  1.08343572  0.41145616  0.00260397  0.82634918  1.14871329  0.51798727
  0.31648768 -0.72756817  0.87869281  0.83978146  0.54681498  1.2478476
  1.01835581 -0.82917773]",970.8859434091579
"[-0.62732265  1.17704828  1.01381281  0.69583981  0.19984492  1.04674885
  1.08343572  0.41145616  0.00260397  0.82634918  1.14871329  0.51798727
  0.31648768 -0.72756817  0.87869281  0.83978146  0.54681498  1.2478476
  1.01835581 -0.82917773]",970.8859429272992
"[-0.62732265  1.17704828  1.01381281  0.6958398   0.19984493  1.04674885
  1.08343572  0.41145616  0.00260397  0.82634918  1.14871329  0.51798727
  0.31648768 -0.72756817  0.87869281  0.83978146  0.54681498  1.2478476
  1.01835581 -0.82917773]",970.8859414163692
"[-0.62732265  1.17704828  1.01381281  0.6958398   0.19984492  1.04674886
  1.08343572  0.41145616  0.00260397  0.82634918  1.14871329  0.51798727
  0.31648768 -0.72756817  0.87869281  0.83978146  0.54681498  1.2478476
  1.01835581 -0.82917773]",970.8859448717293
"[-0.62732265  1.17704828  1.01381281  0.6958398   0.19984492  1.04674885
  1.08343573  0.41145616  0.00260397  0.82634918  1.14871329  0.51798727
  0.31648768 -0.72756817  0.87869281  0.83978146  0.54681498  1.2478476
  1.01835581 -0.82917773]",970.8859460870117
"[-0.62732265  1.17704828  1.01381281  0.6958398   0.19984492  1.04674885
  1.08343572  0.41145617  0.00260397  0.82634918  1.14871329  0.51798727
  0.31648768 -0.72756817  0.87869281  0.83978146  0.54681498  1.2478476
  1.01835581 -0.82917773]",970.8859415437142
"[-0.62732265  1.17704828  1.01381281  0.6958398   0.19984492  1.04674885
  1.08343572  0.41145616  0.00260398  0.82634918  1.14871329  0.51798727
  0.31648768 -0.72756817  0.87869281  0.83978146  0.54681498  1.2478476
  1.01835581 -0.82917773]",970.8859424439532
"[-0.62732265  1.17704828  1.01381281  0.6958398   0.19984492  1.04674885
  1.08343572  0.41145616  0.00260397  0.82634919  1.14871329  0.51798727
  0.31648768 -0.72756817  0.87869281  0.83978146  0.54681498  1.2478476
  1.01835581 -0.82917773]",970.8859429152512
"[-0.62732265  1.17704828  1.01381281  0.6958398   0.19984492  1.04674885
  1.08343572  0.41145616  0.00260397  0.82634918  1.1487133   0.51798727
  0.31648768 -0.72756817  0.87869281  0.83978146  0.54681498  1.2478476
  1.01835581 -0.82917773]",970.8859474236149
"[-0.62732265  1.17704828  1.01381281  0.6958398   0.19984492  1.04674885
  1.08343572  0.41145616  0.00260397  0.82634918  1.14871329  0.51798728
  0.31648768 -0.72756817  0.87869281  0.83978146  0.54681498  1.2478476
  1.01835581 -0.82917773]",970.8859410933225
"[-0.62732265  1.17704828  1.01381281  0.6958398   0.19984492  1.04674885
  1.08343572  0.41145616  0.00260397  0.82634918  1.14871329  0.51798727
  0.31648769 -0.72756817  0.87869281  0.83978146  0.54681498  1.2478476
  1.01835581 -0.82917773]",970.8859439364448
"[-0.62732265  1.17704828  1.01381281  0.6958398   0.19984492  1.04674885
  1.08343572  0.41145616  0.00260397  0.82634918  1.14871329  0.51798727
  0.31648768 -0.72756816  0.87869281  0.83978146  0.54681498  1.2478476
  1.01835581 -0.82917773]",970.885942132543
"[-0.62732265  1.17704828  1.01381281  0.6958398   0.19984492  1.04674885
  1.08343572  0.41145616  0.00260397  0.82634918  1.14871329  0.51798727
  0.31648768 -0.72756817  0.87869282  0.83978146  0.54681498  1.2478476
  1.01835581 -0.82917773]",970.8859432642602
"[-0.62732265  1.17704828  1.01381281  0.6958398   0.19984492  1.04674885
  1.08343572  0.41145616  0.00260397  0.82634918  1.14871329  0.51798727
  0.31648768 -0.72756817  0.87869281  0.83978147  0.54681498  1.2478476
  1.01835581 -0.82917773]",970.8859434701949
"[-0.62732265  1.17704828  1.01381281  0.6958398   0.19984492  1.04674885
  1.08343572  0.41145616  0.00260397  0.82634918  1.14871329  0.51798727
  0.31648768 -0.72756817  0.87869281  0.83978146  0.54681499  1.2478476
  1.01835581 -0.82917773]",970.8859404046312
"[-0.62732265  1.17704828  1.01381281  0.6958398   0.19984492  1.04674885
  1.08343572  0.41145616  0.00260397  0.82634918  1.14871329  0.51798727
  0.31648768 -0.72756817  0.87869281  0.83978146  0.54681498  1.24784761
  1.01835581 -0.82917773]",970.8859473977323
"[-0.62732265  1.17704828  1.01381281  0.6958398   0.19984492  1.04674885
  1.08343572  0.41145616  0.00260397  0.82634918  1.14871329  0.51798727
  0.31648768 -0.72756817  0.87869281  0.83978146  0.54681498  1.2478476
  1.01835582 -0.82917773]",970.8859493306536
"[-0.62732265  1.17704828  1.01381281  0.6958398   0.19984492  1.04674885
  1.08343572  0.41145616  0.00260397  0.82634918  1.14871329  0.51798727
  0.31648768 -0.72756817  0.87869281  0.83978146  0.54681498  1.2478476
  1.01835581 -0.82917772]",970.88593907344
"[-0.99328756  0.99665248  0.9983317   0.99916845  0.99958539  0.99979332
  0.99989691  0.99994874  0.99997457  0.99998715  0.99999331  0.99999608
  0.9999974   0.9999981   0.99999833  0.99999833  0.99999769  0.9999965
  0.99999309  0.9999866 ]",350.83199915419056
"[-0.83246934  0.93848627  0.91744504  0.67286646  0.27616004  0.85101661
  0.8322979   0.54086504 -0.00599246  0.71377234  0.89390574  0.53891646
  0.18713857 -0.68504311  0.86769679  0.83877068  0.80208068  0.89832764
  0.60853581 -0.64723099]",350.83199993496305
"[-0.83246935  0.93848628  0.91744504  0.67286646  0.27616004  0.85101661
  0.8322979   0.54086504 -0.00599246  0.71377234  0.89390574  0.53891646
  0.18713857 -0.68504311  0.86769679  0.83877068  0.80208068  0.89832764
  0.60853581 -0.64723099]",350.8319995061956
